,id,Amazon Standard Identification Number,reviews_numHelpful,reviews_rating,reviews,reviews_summary,reviews_username,length_of_reviews,feedback
1117,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,"debated tap echo, went sale xmas great price best buy. helped make mind pretty quickly!",Great piece of tech!,Robbleo,87,1
1118,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,charge take anywhere house! hold long charge.,Great portable version of echo,kcerps,45,1
1119,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,speaker like usd150.00 one le price great sound quality,sound is great with affordable price,Phobia3000,55,1
1120,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,4.0,"nice addition, allows whole family use enjoy it.",Very nice,Concert,48,1
1121,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,4.0,"far much enjoying product. great outdoor use pool due portability. chance really test long go without charge couple hour problem. catch cannot stream single spotify account one device time, find purchasing dot echo able stream using account time.",Very pleased,Northefist,246,1
1122,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,tap amazing. portable connected amazon content,Great Alexa product,coach3,46,1
1123,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,handy device highly recommend it. also enjoy using alexa it.,I love my Amazon Tab,brettdavis4,60,1
1124,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,2.0,"seemed work fine, tap open mic feature. best some, bought gift would prefer one listens. tap make press mic button every time wish communicate alexa, seems defeat purpose.",Returned it,Abbyks,171,0
1125,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,1.0,"speaker voice quality terrible compare similar size logitech ue boom.the price high, even got promotion $79","terrible product,bad voice quality",JohnS,107,0
1126,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,speaker sound decent size cost favorite thing speaker wireless portable. charge speaker practically take anywhere without plug in.,Very decent sound and the portability is excellent,cedriic,130,1
1127,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,4.0,"interesting device, touch button pain sometimes.if would bother you, go echo.",Awesome device,p2j2m,77,1
1128,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,4.0,bought tap integrate echo. ideal husband office use desktop easy reach music contact alexa. wireless feature great sound activation would make product perfect!,Nice addition to the echo lineup,FloridaOh9,159,1
1129,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,good price work great would buy good value price,Great price,kennyman,48,1
1130,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,"last christmas gave nephew fire stick, loved. meantime, purchased amazon tap myself. since like gadgets, knew would want one. purchased",It has so many uses and performs well.,01-Apr,135,1
1131,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,4.0,took awhile get connected home wifi stream flawlessly lag music. dynamic sound range bluetooth speaker own.,GREAT STREAMING DEVICE BUT LACKING IN SOUND,Spazdude,107,1
1132,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,"small, portable work blue tooth speaker take away home me.",Works great,LavaBoss,58,1
1133,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,"echo paid, well worth every penny",Love my tap,Ces0983,33,1
1134,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,4.0,"alexa ........something? welcome new interconnected world circlers! want speaker stream music voice command? may you! feel technology driving life toward dystopia david egger ""the circle"" want escape technology while? likely not, even though touch button unit opposed always echo echo dots, life still connected alexa via voice prompts! liked using amazon music, occasional amazon video, yet order pizza hail uber. people may feel need technology run lives, quite yet may never be! fun though, good bluetooth speaker!","Like it, but do i really need it?",ElPollo,517,1
1135,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,"great speaker, love using voice commands, even granddaughter use voice command search songs.",Love the speaker,VCMN,92,1
1136,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,nice addition alexa family pf products. wireless move around house wherever want listen music without search plugs. great sound portability.,Great product,Sean,140,1
1137,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,4.0,worked well extension amazon echo cover basement living area.,Great extension of Echo,rhex,61,1
1138,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,3.0,"understand command questions,but good overall",it's good,moose,45,0
1139,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,enjoyable easy listening music selection online. sound good size.,Fun Little Black Box,ShawPhoto,65,1
1140,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,4.0,"like play music. perfect connect smart home products. nest, belkin , many others. easy use.",Great way to play music,Pita,91,1
1141,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,4.0,"gave gift.did know ""tap"" talk. thought like echo.anyway, still love mind pushing button talk.really like battery powered, portable.",Good product and good sale price,BddoT2,131,1
1142,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,"echo, love product! purchased tap gift.",This was a gift for someone!,Skip,39,1
1143,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,3.0,great sound..easy connect..problem is.. voice activated..so u push wake button anytime u need use it..that mean b close hand...,Its a pain to use,shaithus,127,0
1144,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,camera perfect daughter... yearbook school fell love it...,Great camera for a beginner!!!,Jlimon,58,1
1145,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,literally use thing every single day. love it.,Amazing,tbistone,46,1
1146,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,like it. use everyday far cons. im please.,Nice for the Price,romaeeeeee,42,1
1147,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,someone talk answer you.,It a must,JOCHE,24,1
1148,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,speaker great sound easy use.,Great sound,AmandaPanda,29,1
1149,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,purchased amazon tap sale around $80. sound amazing (unlike amazon echo stereo speakers!) battery life great! wi-fi bluetooth stream internet mobile device. highly recommended!,Amazing Sound and great Battery Life!,EliteBuyer,176,1
1150,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,fun new product. great gift idea especially good technology.,Fun,Buyer,60,1
1151,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,1.0,tin sounding bass sound terrible bought bose sound link amazon dot hook,Sound quality horrible,Jon12,71,0
1152,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,4.0,purchased gift echo. echo work like echo great.,Unable to rate at this time,Jayrock2,47,1
1153,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,"one best product every purchased. play songs, give directions, weather sound quality excellent!",AWESOME,Anonymous,95,1
1154,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,sound quality amazing. really like ability take go. downside. wish press button talk wake product,Nice Product,Tony,97,1
1155,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,love work great lot fun great listening music,Sound quality is great,Roger,45,1
1156,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,3.0,nice portable speaker wish sound quality better.,Nice portable speaker,Papa,48,0
1157,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,4.0,love great speaker long u access wifi,Great speaker,Webkf1,37,1
1158,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,"bought echo first, liked much bought tap add mobility. carry around time, garage, working out, etc.",Great Tech!,VaBeach,99,1
1159,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,4.0,"huge fan echo. said last one would buy. original echo's speaker sound much better hand free. dot great connection bluetooth importantly audio plug stereo system. bought purpose able carry outside around house working yard. sound robust original echo (not portable - internal battery), good enough yard least music.",Great for a purpose,PABuyer,314,1
1160,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,great product! would definitely recommend item!,Great sound,Knack,47,1
1161,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,make happy listen kind music station,Love it!!!!!,Heather,36,1
1162,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,pretty good sound size configuration speaker. easy set up.,More than a gimmick,opchiasm,58,1
1163,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,4.0,bought gift wife love it. work expected.,Great speaker,Wardog21,40,1
1164,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,terrific device. ask anything answer. small enough place anywhere look instructive,My new best friend,Rigbyabador,82,1
1165,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,"product work great little helper great speaker music. purchased mother nursing home, love it! easy set use.",Great!,EmilyG,107,1
1166,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,3.0,work 50% time asking question.,Rarely gives a good answer,toeka,30,0
1167,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,"ultimate bluetooth speaker...i multiple amazon echo whole echo system set house. love everything amazon...i can't stand apple know feel...i cult member amazon!!! lol anyway...i trashing device...the tap...because always feature one thing like echo. flaw echo portable..i tried triby like it...more little kids. black friday amazon tap super sale bought it. tap smaller thought was...about 2/3rd size echo..which perfect portability...but let size fool sound short bose come volume sound quality. important note...you echo use device...just alexa app smart phone. tap everything echo does..it amazing bluetooth speaker...and it""s portable!!! automatically switches/remembers different wifi area used hot spot. amazing thing whole amazon echo system amazon keep making enhancement partnership weekly. meaning something would two week ago does...some thing even better google now...and light year ahead siri. tap new favorite device...it perfect!!! flaw waterproof...amazon listening make next tap waterproof!!!",The Perfect Bluetooth Speaker...Plus So Much More!,CellPhoneGuy,1008,1
1168,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,"amazon tap great mobile bluetooth speakers, invested amazon eco-system. produce good sound levels, play music stored associated cloud account everything else echo do, mobility added (as opposed echo always plugged wall work).",Excellent mobile speakers,Yellowman99,225,1
1169,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,want spend $200 echo someone who's use using bluetooth speaker. great buy function well.,Great for those new to Bluetooth,Risha37,88,1
1170,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,prime best thing buy!,Worth every penny!,Eaglenut1,21,1
1171,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,"fantastic little speaker power amazon alexa. use stream spotify, pandora andespn radio. small speaker fill garage like concert hall. battery last 8 hr charging stand could simpler use.",Fantastic speaker,JAdow,184,1
1172,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,"echo, tap dot. currently tap serf bluetooth speaker dot - making like echo, enjoy able take tap anywhere. really good sound much like echo. also work great app syncs products.",Like echo without voice prompts,Firemedic609,175,1
1173,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,3.0,would buy cheaper one bought.the echo better product,ok product,Rick,52,0
1174,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,like amazon tap portable. used several time make thing lot easier.,Amazon Tap,RonGT,66,1
1175,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,4.0,we're 70 good time it.,Even us old people can use it!!,Flintlock,22,1
1176,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,great addition expanding smart home. speaker sound great alexa responsive.,Awesome smart device,Dirtdiver069,74,1
1177,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,4.0,pretty cool kid love it. always adding thing grocery list want.,Works!,pneks2001,63,1
1178,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,4.0,"love product take ""alexa"" everywhere portable speaker. connect phone away wifi building. speaker great, surrounded cloth, would worry getting dirty. one downside tap compared echo dot og echo alexa always listening work tap, press speaker button. pretty self explanatory name. ""tap"" tap. ended returning get dot. but, like said, great speaker, great portable device.",Great speaker. Great product,Emilybeaver,366,1
1179,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,great device much fun use. versatile control.,Much more then a speaker,Alan,45,1
1180,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,4.0,issue all... wish water proof. kid family love it.,Great product,Adam,50,1
1181,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,"easy set up, ton music, easy use. looking voice activated, it.",Fun and easy.,Dani,62,1
1182,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,4.0,"love tap portable. drag around house outside. i'm audiophile, think sound quality good except highest level. wish always listening charging dock.",Great for listening to music on the go,DJ96,145,1
1183,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,"know would like much, wonderful. use mostly streaming music pandora. love rely another device connect via bluetooth like speaker sound great!",Didn't know I would like it this much,MediaMom,141,1
1184,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,use speaker time. perfect. would buy time time again.,Great speaker,Harper,53,1
1185,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,4.0,gizmo awesome want portability cool thing alexa world!,Neat little speaker!,PT109,54,1
1186,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,bought give away halloween party. awesome,Great Buy,BigDaddy55,41,1
1187,AVPFPK8KLJEJML43BCUD,B01BH83OOM,1.0,4.0,love little speaker. small enough carry wherever want bring yet loud enough heard alexa interface pretty cool well. issue connect apple music. issue easily resolved putting tap bluetooth mode playing apple music phone tap,Great Item,Fishnan10,221,1
1188,AVPFPK8KLJEJML43BCUD,B01BH83OOM,1.0,4.0,"want one advanced alarm clock market device!it work well. calendar functions, play radio, podcasts, order domino's. aware feature require degree amazon prime membership. example spotify work unless premium account.",Great overpriced alarm clock!,Fern,214,1
1189,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,"whole family using it. music, bluetooth speaker, questions, game times, sport scores. love portability.",Love the Tap,Tinkerer,103,1
1190,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,let choose type music love. even go beach using sling.,Nice to have music anytime you want.,GoPats,54,1
1191,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,4.0,sound greatdifficult connect hotel wifi'sseems durable,great fidelity,gooddeals,54,1
1192,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,"great listening prime music, quick weather reports. volume adjusts quickly give status battery request.",great for listening to prime music,tifnbil,103,1
1193,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,good sound little speaker & good getting information getting up.,Amazon tap,Snowman8,64,1
1194,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,"dont need voice activation alexa, want smaller footprint something take you, consider tap. almost functionality alexa, smaller ( le expensive ) version.great room filling sound distortion cheaper alternatives.",Great alternative to the more expensive one,photoguy,209,1
1195,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,amazon tap great sound play requests. easy use easy set up.,Great music player!,Zigcredo,59,1
1196,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,glad purchased productive use time,Love this product,Coco,34,1
1197,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,4.0,bought item whim sale. i've pleasantly surprised. search sound great size.,Fun itwm. Does as stated,jeopcon69,74,1
1198,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,3.0,battery life long sound surprisingly good. alexa 'smart' marketing would like think. get lot 'i know answer that',Love the portability.,mackingInternetswithDOGE,113,0
1199,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,4.0,"decent tag along item go echo. trick stand alone well speaker alexa service looking for. downside is, also echo, push button tap speak alexa, since always listening echo, tends pick command echo well. sure place tap decent distance away echo. otherwise, intended do.",Good fit with Echo,nvcop,266,1
1200,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,love every aspect echo. even went bought tap!,Great Buy!,Brian,45,1
1201,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,"like sound, portable use work. sound fill whole office.",Loving it. It has great sound.,Bunny,55,1
1202,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,nice item..i set reminder get news weather..all tap button,I love being able ask questions of Alexa,Msvlm05,58,1
1203,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,echo take anywhere. run battery connect via bluetooth away wifi.,Great Portable Echo,MISTERT,64,1
1204,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,would recommend it. fun use put good sound.,Cool product,ShanNick,43,1
1205,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,got sale 100! replaces 500 cds! must buy long prime!,Worth every penny!,Eaglenut1,52,1
1206,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,"excellent sound fun. portable easy carry backpack. feature echo echo dot must ""tap"" button speaking.",Great Portable Speaker & Fun,Ranger,100,1
1207,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,1.0,"hard use, support guam. online instruction clear",Not a good product,Albert,48,0
1208,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,great wish need button work. otherwise love it!,Great!,DoGg,47,1
1209,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,"work great, sound clear really loud. would recommend",Super loud,dani,52,1
1210,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,great product two them! would highly recommend.,Great,ladyglencoe,47,1
1211,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,touch great device control connected home products. perfect outside use prime music also.,Great device to control the home,TechGuy,89,1
1212,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,"bought boyfriend, love it! take every trip go on. powerful small speaker! would definitely recommend anyone.",Excellent Speaker,Courtney,108,1
1213,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,amazon echo amazon tap work wonderfully echo. sound quality great. easy use set up. beat turning receiver music. looking great easy sound machine tap it.,Amazon Tap,7011,153,1
1214,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,bought family gift. use time now. helpful covenient,Super easy to set up and use,Triman,51,1
1215,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,4.0,"overall good, great. get tired push button talk can't find lot music liked. getting dot see work. price point works.",Tired,Finicky,116,1
1216,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,awesome product. husband love it.,Awesome product,Jobendab,33,1
1217,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,4.0,love sound come alexa informative!,Alexa,mssilverfox,34,1
1218,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,4.0,"reliable speaker before. easy charge, easy start playing song right away. alexa, access information quicker pulling phone, unlocking it, pulling google.com. love it.","Great Speaker, Great Features",Teaz,165,1
1219,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,3.0,"alexa work great, sound quality speaker terrible, much better echo dot bose sound link mini set up.","Alexa works good, but...",GEM310,99,0
1220,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,"bought speaker looking speaker bose beats. purchased one great sound, also cheaper competitor many additional capability via alexa voice control. love ability walk around house use streaming service via voice. great carry speaker rely upon phone app change songs, playlists, volume, etc. alexa voice recognition work well--it seems accurate siri. frequently ask alexa song playing. also ask alexa search certain song want hear. library, play prime music, similar way apple music functions. additional voice feature use news reports, weather forecasts, control wemo switch home. overall great buy.",Great sound in a portable Bluetooth and more,JayPA,596,1
1221,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,4.0,"sure would like tap, must say fun talking alexa. like asking tell joke, play favorite radio station play music. fun continues add apps alexa expands knowledge base.",Easy way to play music,MusicLover,164,1
1222,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,4.0,awesome. really enjoy using it. portability plus!,Awesome,Danny,49,1
1223,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,"full disclosure. five amazon echo including dot well tap, obviously i'm fan echoes. honestly figure amazon marketing online review tap fit compared full blown echo dot. kept thinking limited compared echo dot tap button ask question. however given completely portable run six hour charge make sense would wast battery always listening voice command. imo, tap sound good maybe even better echo much smaller form factor. since portable probably going sitting next way tapping ask question really issue someways better full table control get request music. friend get fun war asking different music full blown echo also get little annoying someone play michael bolton bruce springsteen. bottom line good sound full blown tap portable smaller form. happy echo may favorite.",The most versatile of all Amazon Echos,RickR,769,1
1224,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,4.0,"nice sound money, good high much low",Sound,Hydro,36,1
1225,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,great additional piece go echo. want additional unit can't beat product price!,Excellent product for the price.,Daniel,78,1
1226,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,product amazing love turn light play favorite music.,Great product,Dani,52,1
1227,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,"tap portable amazon echo speakers. great carrying basement upstairs. work like echo voice activated, must ""tap"" talking.",Works great,PamJK,120,1
1228,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,4.0,tap echo. buy another tap. voice activation good. mind push button every command tap ok. me... echo.,Ok but the echo is better,Mac1,100,1
1229,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,4.0,"bought listen music. use alexa feature much. feature work great, get annoying press button v echo speak. speaker work great. hear music crystal clear throughout majority house playing it. bass decent. would recommend someone.",Overall good,Dylon,225,1
1230,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,"read review tap decided try it, love it. tap keep date weather, news etc. use every day.",Great assistant,Lafeyette,88,1
1231,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,4.0,"good sound unlike echo, press button device want do. ordered dot may solve issue.",Would be better with Dot.,Larry,81,1
1232,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,"great device listen music,best blue tooth market today,i highly recommend",Great device,Smitty,73,1
1233,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,awesome addition stationary echo. take yard garage working outside. great sound long battery,Love the Tap!,shar555,92,1
1234,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,4.0,"used bluetooth speaker love use spotify it....just say alexa, ask favorite artist.....",The best of both BT and Voice,agzela,86,1
1235,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,4.0,pretty cool. integration amazon music via mobile phone interface little iffy odd given product come company.,tap tap tappy,davepjoneshen,108,1
1236,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,4.0,"already amazon echo system tap nice addition. use primarily outdoor speaker patio weather nice. bluetooth speaker market better sound quality adequate job speaker. real advantage able interface echo system well item music, news,etc. used charger long enough comment battery life far six hour session outside problem.",Handy speaker if you don't need the best sound.,Vaiolation,316,1
1237,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,4.0,like portability tap. lose feature echo - like speaking across room. i'm happy good sound. great take pool!,so far so good,Happy,107,1
1238,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,"purchased echo home added tap office work, chat alexa work main reason decent bt speaker office. great sound streaming prime music xm vi xm app. can't go wrong. quality music alexa need help spelling hard word's, getting smart. pick one up. woman talk wife out.",Now I have Alexa at work,JP315,261,1
1239,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,4.0,bad novelty alexa. might well get echo. sound bad i'm audiophile. might good echo dot come in. worth it? better bluetooth speaker there.,It's a speaker,haiisenberg,136,1
1240,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,great outside speaker alexa really great use.,Great buy,Carbob,45,1
1241,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,4.0,prefer spending extra $70 $80 get echo,Its ok for the price,ibeb71,38,1
1242,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,4.0,"fantastic sound small speaker, excellent! impressed potential capabilities- difficult set & get various apps needed thing like get weather, order items, etc.. wish came pre installed guess.","Great sound from a little speaker, that's about it",Amblate,189,1
1243,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,4.0,"take try figure connect internet change blue tooth needed. overall , set super easy use. work best spotify premium. voice recognition good improves time. sound quality good. battery really good.",Pretty good,Matty,194,1
1244,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,play ipod music via bluetooth. also play radio station can't get regular radio. practical fun.,Alexa is great,Holmes,94,1
1245,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,4.0,"love hut think got bigger one, entertaining",My son loves it,Dpadilla,43,1
1246,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,brought gift sister absolutely love it! great product price.,Great Speaker,OLS45,60,1
1247,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,"looking bluetooth speaker add laptop better sound. first listened amazon tap impressed sound quality.....then add feature brainer purchase! sound quality charts, alexa learns every day, i! prime member, must! aren't...then really be!",Awesome!,LookoutNoah,233,1
1248,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,live small apartment fan kept whole place cool.,Like it very much.,MzPat,47,1
1249,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,2.0,"done research buying tap. would rather upgraded version voice activated. also, thought would like siri ask anything. alexa's answer question is, ""i understand question."" bluetooth speaker work fine.",Impulse Buy,AndreandDeb,198,0
1250,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,"want certain level privacy time speech enabled assistant, product you. tap listens your, push ""button, otherwise deaf surroundings. get awesome power alexa, provided amazon, worry anyone listening surreptitiously.",Privacy + Alexa = Awesome,Rittir,213,1
1251,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,love using speaker macbook. keep office use daily!,Great for music,Kerrdogg,50,1
1252,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,love tap. speaker nice. likenit charging cradle sit on. easy charge.,Love it,GG13,68,1
1253,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,great piece hardware...i love it. really good around..,lovely speaker with many extras,Dspeers,54,1
1254,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,"great sound portablebility. nice style, lithium battery, requires wifi internet radio station news. amazon feature available well. use mine lot.",Amazon tap Bluetooth Alexa,Cody,144,1
1255,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,"amazon leader space voice recognition aws engine behind it, there's lot opportunity development, community well amazon. naturally favor interaction service sell, others need build link others, development environment seems support lot innovation already. price tap outstanding, adding existing echo considering dot.","Alexa is charming, and reasonably intelligent",sa88,315,1
1256,AVPFPK8KLJEJML43BCUD,B01BH83OOM,1.0,5.0,"best buy running sale thought i'd give try. expecting much pleasantly surprised. i'm apple guy siri ""go to"" virtual assistant. must say duly impressed alexa. seems understand better siri does. skill ability play music asking really great!the fact available portable device take everywhere go useful. tap remembers wifi cellular hotspot connection use anywhere. unlike non-portable brother echo, push button issue command alexa. plus side, say alexa. negative side still push button. understand case would last long battery power alexa listening time. amazon issue firmware update allow alexa listen time plugged in.the sound quality good, great. speaker $129 category sound better. none convenience alexa, bluetooth, wifi portability one package.i'll buying christmas gifts!",Got me hooked!,ITGuy,774,1
1257,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,5.0,really enjoy alexa. always music. lately movie times. kid like ask silly question can't get enough,Alexa is a great gadget,Eze110,98,1
1258,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,3.0,"bought one couple gifts, cute still figured what's great it. say pick voice throughout huge room.",Gift product,Davek,97,0
1259,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,4.0,nice portable work well go. wished option able use voice command without pushing button.,Portability,Scottief,88,1
1260,AVPFPK8KLJEJML43BCUD,B01BH83OOM,0.0,3.0,returned wanted better sound...opted bose soundlink. decent speaker nice amazon prime/alexa features...just sound looking for.,Okay sound,AnthonyZ,126,0
